3 	 1	 heimta	 42 	 {'heimtu', 'heimti'}
3 	 1	 fjölmenna	 412 	 {'fjölmenntu'}
3 	 S	 sá	 0 	 {'seri', 'sám'}
3 	 1	 neyta	 432 	 {'neytti'}
3 	 1	 sæta	 32 	 {'sætir'}
3 	 2	 vanda	 1 	 {'vönduðu', 'vandaði'}
3 	 2	 öfunda	 1 	 {'öfyntu', 'öfunduðu', 'öfundaði'}
3 	 2	 varða	 1 	 {'vörðuðu', 'varðaði'}
3 	 1	 hætta	 32 	 {'hætta', 'hætti', 'hættu'}
3 	 2	 róma	 1 	 {'rómuðu', 'rómaði'}
3 	 2	 sigra	 42 	 {'sigraði'}
3 	 1	 ryðja	 4j2 	 {'ruddist', 'ruddi'}
3 	 2	 gruna	 1 	 {'grunaði'}
3 	 S	 stela	 42 	 {'stæli', 'stal'}
3 	 1	 þekkja	 4j2 	 {'þekktist'}
3 	 S	 hljópa	 1 	 {'hljópi', 'hljópu'}
3 	 S	 brynna	 42 	 {'brynni'}
3 	 1	 ilma	 42 	 {'ilmði', 'ilmaði'}
3 	 2	 slokkna	 1 	 {'slokknaði'}
3 	 S	 flá	 0 	 {'flæðu', 'flógu'}
3 	 1	 efla	 42 	 {'efldi', 'efldu'}
3 	 1	 byrja	 4j2 	 {'byrjaði'}
3 	 2	 prófa	 1 	 {'prófuðu', 'prófaði', 'prófaðist'}
3 	 2	 fóstra	 1 	 {'fóstraði'}
3 	 2	 seinka	 42 	 {'seinkuðu', 'seinkaði'}
3 	 S	 rífa	 2 	 {'reif'}
3 	 2	 þorna	 1 	 {'þornaði'}
3 	 1	 fellda	 42 	 {'felldi'}
3 	 2	 ávíta	 12 	 {'ávítaði'}
3 	 1	 knýja	 j2 	 {'knúði'}
3 	 1	 brosa	 1 	 {'brosti'}
2 	 1	 lægja	 3j2 	 {'lægða', 'lægist'}
2 	 2	 byrla	 42 	 {'byrlaði'}
2 	 1	 ríkja	 j2 	 {'ríkti'}
2 	 S	 gá	 0 	 {'gengir', 'gáði'}
2 	 S	 velta	 42 	 {'velti', 'veltist'}
2 	 1	 dirfa	 42 	 {'dirfðist'}
2 	 S	 skalla	 1 	 {'skall'}
2 	 1	 læra	 32 	 {'lærðu', 'lærumst'}
2 	 1	 benda	 42 	 {'benti', 'bendist'}
2 	 1	 ýta	 2 	 {'ýttum', 'ýttu'}
2 	 2	 tendra	 42 	 {'tendraði'}
