4 	 S	 drepa	 24 	 {'drápu', 'drap'}
4 	 S	 troða	 1 	 {'tróð'}
4 	 S	 brenna	 24 	 {'brann', 'brendu'}
4 	 1	 hirða	 24 	 {'hirti', 'hirtu'}
4 	 S	 skríða	 2 	 {'skreið', 'skriðu'}
4 	 1	 skemmta	 24 	 {'skemmtu', 'skemmti'}
4 	 1	 vefja	 j24 	 {'vafði', 'vöfðu'}
4 	 1	 dá	 0 	 {'dáði', 'dáðist', 'dáðust'}
4 	 S	 blása	 1 	 {'blés', 'blésu'}
4 	 S	 svífa	 2 	 {'sveif', 'svifu'}
4 	 1	 beita	 24 	 {'beittu', 'beitti'}
4 	 S	 auka	 1 	 {'jók'}
4 	 1	 smeygja	 j243 	 {'smeygði'}
4 	 2	 snara	 1 	 {'snaraðist', 'snöruðu'}
4 	 1	 byggja	 j24 	 {'byggðist', 'bygðu', 'byggir'}
4 	 2	 hóta	 1 	 {'hótaði', 'hótuðu'}
4 	 1	 kreista	 24 	 {'kreisti'}
4 	 S	 velta	 24 	 {'(vbds ylti', 'veltist', 'valt'}
4 	 1	 ræskja	 j23 	 {'ræskti'}
4 	 2	 góla	 1 	 {'góluðu', 'gólaði'}
4 	 1	 leysa	 243 	 {'leystu', 'leysti', 'leystist'}
4 	 1	 greiða	 24 	 {'$greiddi', 'greiddi', 'greiðist'}
4 	 2	 stunda	 1 	 {'stunduðu', 'stundaði'}
4 	 S	 geta	 24 	 {'gátu', 'gat'}
4 	 S	 þjóta	 1 	 {'þaut'}
4 	 1	 neyða	 243 	 {'neyddist', 'neyddi'}
4 	 2	 vona	 1 	 {'vonuðu', 'vonaði'}
4 	 S	 skreppa	 24 	 {'skrapp', 'skryppir', 'skruppu'}
4 	 1	 ýta	 2 	 {'ýttu', 'ýtti'}
3 	 1	 keyra	 243 	 {'keyrði'}
3 	 S	 hrjóta	 1 	 {'hrutu', 'hraut'}
3 	 1	 græða	 23 	 {'græddist', 'græddi', 'græddu'}
3 	 1	 skella	 24 	 {'skellti'}
3 	 2	 eigna	 24 	 {'eignaðist'}
3 	 1	 selja	 j24 	 {'seldi'}
3 	 S	 álíta	 12 	 {'áleit'}
3 	 2	 elska	 24 	 {'elskuðum', 'elskuðumst', 'elskaði'}
3 	 S	 skafa	 1 	 {'skóf', 'skófu'}
3 	 2	 kinka	 24 	 {'kinkaði', 'kinkuðu'}
3 	 2	 lokka	 1 	 {'lokkaði'}
3 	 2	 klappa	 1 	 {'klöppuðu', 'klappaði'}
3 	 S	 vega	 24 	 {'$vegaði', 'vó', '(vbdi vó'}
3 	 1	 breyta	 243 	 {'breyttist', 'breyttu', 'breytti'}
3 	 1	 festa	 24 	 {'festi'}
3 	 2	 orða	 1 	 {'orðaði'}
3 	 2	 nudda	 1 	 {'nuddaði', 'nudduðu'}
3 	 2	 þurrka	 1 	 {'þurrkaði'}
3 	 2	 hljóða	 1 	 {'hljóðaði'}
3 	 S	 sleppa	 24 	 {'sleppti', 'slepptu', 'slepti'}
3 	 2	 hata	 1 	 {'hötuðu', 'hataði'}
3 	 2	 hreinsa	 24 	 {'hreinsaði'}
3 	 1	 lemja	 j24 	 {'lamdi'}
3 	 S	 svíða	 2 	 {'sveið', 'sviði'}
3 	 2	 bursta	 1 	 {'burstuðu', 'burstaði'}
3 	 2	 sakna	 1 	 {'söknuðu', 'saknaði'}
3 	 2	 stama	 1 	 {'stamaði'}
3 	 2	 snuðra	 1 	 {'snuðraði', 'snuðruðu'}
3 	 2	 hlykkja	 j24 	 {'hlykkjaðist', 'hlykkjandist', 'hlykkjaði'}
3 	 1	 krefja	 j24 	 {'krafðist', 'krafði'}
3 	 2	 umla	 1 	 {'umlaði'}
3 	 1	 tísta	 2 	 {'tístu'}
3 	 1	 ræða	 23 	 {'ræddum', 'ræddi'}
3 	 S	 éta	 2 	 {'át'}
3 	 2	 geisa	 24 	 {'geisuðu', 'geisaði'}
3 	 2	 rugla	 1 	 {'rugluðu', 'ruglaðist'}
3 	 1	 nenna	 24 	 {'nenti', 'nentu', 'nennti'}
3 	 1	 rýna	 2 	 {'rýndu', 'rýndi'}
3 	 2	 viðra	 24 	 {'viðraði'}
3 	 2	 ítreka	 24 	 {'ítrekaði'}
3 	 2	 geispa	 24 	 {'geispaði'}
3 	 2	 þyrla	 24 	 {'þyrlaðist', 'þyrlaði'}
3 	 2	 kveinka	 24 	 {'kveinkaði'}
3 	 2	 humma	 1 	 {'hummaði'}
3 	 1	 hengja	 j24 	 {'hengdi'}
3 	 2	 loga	 1 	 {'logaði'}
3 	 1	 teygja	 j243 	 {'teygði', 'teygðu'}
3 	 2	 klifra	 24 	 {'klifraði', 'klifruðu'}
3 	 1	 styrka	 24 	 {'styrkti'}
3 	 2	 glaðna	 1 	 {'glaðnaði'}
3 	 1	 rölta	 1 	 {'röltu', 'rölti'}
3 	 2	 safna	 1 	 {'safnaði', 'söfnuðust'}
3 	 S	 fljóta	 1 	 {'flaut', 'flutu'}
3 	 1	 hella	 24 	 {'hellti'}
3 	 1	 svæfa	 23 	 {'svæfi'}
3 	 S	 sjóða	 1 	 {'sauð', '(vbdi sauð'}
3 	 1	 dvelja	 j24 	 {'dvaldist', 'dvöldust', 'dveldi'}
3 	 1	 æpa	 23 	 {'æptu', 'æpti'}
3 	 S	 róa	 1 	 {'róaðist', 'róaði'}
3 	 2	 ganta	 1 	 {'gantaðist'}
3 	 2	 strengja	 j24 	 {'strengduð', 'strengdi'}
3 	 1	 dreyma	 243 	 {'dreymdi'}
3 	 S	 binda	 24 	 {'batt'}
3 	 2	 mála	 1 	 {'málaði'}
3 	 2	 ranka	 1 	 {'rankaði'}
3 	 2	 skila	 24 	 {'skiluðu', 'skilaði'}
3 	 S	 stela	 24 	 {'stal', 'stælu'}
3 	 S	 vaxa	 1 	 {'óx', 'uxu'}
2 	 2	 kosta	 1 	 {'kostaði', 'kostuðu'}
2 	 2	 stansa	 1 	 {'stansaði', 'stönsuðu'}
2 	 S	 sá	 0 	 {'sáði'}
2 	 2	 dofna	 1 	 {'dofnuðu', 'dofnaði'}
2 	 1	 misheyra	 243 	 {'misheyrðist'}
2 	 1	 hvæsa	 23 	 {'hvæsti'}
2 	 2	 skipa	 24 	 {'skipaði'}
2 	 2	 ama	 1 	 {'amaði'}
2 	 2	 henta	 24 	 {'hentust', 'hentaði'}
2 	 2	 stöðva	 1 	 {'stöðvaðist'}
2 	 2	 forða	 1 	 {'forðaði'}
2 	 2	 stikla	 24 	 {'stiklaði'}
2 	 1	 þreyta	 243 	 {'þreytti'}
2 	 2	 hrifsa	 24 	 {'hrifsaði'}
2 	 2	 þurka	 1 	 {'þurkaði'}
2 	 1	 una	 1 	 {'yndi'}
2 	 2	 sparka	 1 	 {'sparkaði'}
2 	 2	 glamra	 1 	 {'glamraði'}
2 	 1	 dreifa	 24 	 {'dreifði', 'dreifðu'}
2 	 1	 skyggja	 j24 	 {'skygði', 'skyggði'}
2 	 1	 sannfæra	 123 	 {'sannfærumst', 'sannfærðist'}
2 	 1	 loða	 1 	 {'loddi'}
2 	 1	 kíma	 2 	 {'kímdi'}
2 	 1	 syrgja	 j24 	 {'syrgði'}
2 	 2	 öskra	 1 	 {'öskraði'}
2 	 1	 gretta	 24 	 {'gretti'}
2 	 2	 furða	 1 	 {'furðaði', 'furðuðu'}
2 	 1	 spenna	 24 	 {'spennti'}
2 	 S	 bresta	 24 	 {'brast'}
2 	 2	 iða	 24 	 {'iðaði'}
2 	 1	 læsa	 23 	 {'læsti'}
2 	 2	 ryksuga	 124 	 {'ryksugaði'}
2 	 1	 þýða	 2 	 {'þýddi'}
2 	 2	 klóra	 1 	 {'klóraði'}
2 	 1	 hlífa	 2 	 {'hlífði'}
2 	 2	 veifa	 24 	 {'veifaði'}
2 	 S	 skera	 24 	 {'skarst', 'skar'}
2 	 S	 vella	 24 	 {'vall'}
2 	 1	 flýja	 j2 	 {'flýði', 'flúði'}
2 	 S	 verpa	 24 	 {'varp'}
2 	 S	 genga	 24 	 {'gengust'}
2 	 2	 kitla	 24 	 {'kitlaði'}
2 	 2	 þoka	 1 	 {'þokuðu', 'þokaði'}
2 	 2	 minnka	 24 	 {'minkuðu'}
2 	 1	 þrýsta	 2 	 {'þrýsti'}
2 	 2	 banka	 1 	 {'bankaði'}
2 	 1	 gleðja	 j24 	 {'gladdi', 'glöddust'}
2 	 1	 bæra	 23 	 {'bærðust', 'bærðist'}
2 	 2	 þroska	 1 	 {'þroskaðist'}
2 	 S	 merkja	 j24 	 {'merkti'}
2 	 2	 hátta	 1 	 {'háttaði'}
2 	 1	 grúfa	 1 	 {'grúfði'}
2 	 1	 reyta	 243 	 {'reytti', 'reyttist'}
2 	 2	 bragða	 1 	 {'bragðaði'}
2 	 S	 blanda	 1 	 {'blandaðist'}
2 	 1	 flökta	 1 	 {'flökti'}
2 	 1	 smyrja	 j24 	 {'smurði'}
2 	 2	 haga	 1 	 {'hagaði'}
2 	 S	 blóta	 1 	 {'blótaði'}
2 	 2	 faðma	 1 	 {'faðmaði'}
2 	 1	 híma	 2 	 {'hímdu', 'hímdum'}
2 	 2	 gliðna	 24 	 {'gliðnaði'}
2 	 2	 sópa	 1 	 {'sópaði'}
2 	 2	 marséra	 12 	 {'marséraði'}
2 	 S	 þiggja	 j24 	 {'þáði'}
2 	 S	 kvíða	 2 	 {'kveið'}
2 	 1	 dæsa	 23 	 {'dæsti', 'dæstu'}
2 	 2	 blunda	 1 	 {'blundaði', 'blunduðum'}
2 	 2	 lifna	 24 	 {'lifnaði'}
2 	 2	 prédika	 24 	 {'prédikaði', 'prédikuðuð'}
2 	 1	 mótmæla	 123 	 {'mótmælti', 'mótmæltu'}
2 	 1	 dynja	 j24 	 {'dyndi', 'dyndu'}
2 	 1	 tína	 2 	 {'tíndi'}
2 	 2	 bráðna	 1 	 {'bráðnuðu', 'bráðnaði'}
2 	 2	 staldra	 1 	 {'stöldruðu', 'staldraði'}
2 	 1	 velja	 j24 	 {'valdi', 'völdu'}
